round,train_loss,val_loss,val_acc,lr
1,2.024367951788008,,,0.0007000000000000001
2,2.010998838581145,,,0.0011500000000000002
3,2.078204685077071,,,0.0016000000000000003
4,2.0101361136883495,0.7402369842529297,80.9,0.00205
5,1.8937652297317982,,,0.0025
6,2.022188813611865,,,0.00295
7,1.9333737205713988,,,0.0034000000000000002
8,1.8396868888288735,0.7487004573822021,80.72,0.00385
9,1.8834021156653762,,,0.0043
10,1.8448115021921694,,,0.00475
11,1.768504479341209,,,0.005200000000000001
12,1.8068442029878498,0.7174289798736573,81.64,0.0056500000000000005
13,1.810060062725097,,,0.0061
14,1.8196424931287765,,,0.007
15,1.8812479220330716,,,0.006996929905346005
16,1.7875669678673147,0.745701318359375,81.52,0.006987725007373265
17,1.9435757726430893,,,0.0069724014546006735
18,1.7998991014435888,,,0.006950986129746768
19,1.7249609873630107,,,0.006923516602568321
20,1.7680744228884577,0.715532707977295,81.64,0.00689004106395021
21,1.8084387712180614,,,0.006850618241362237
22,1.8115781423635782,,,0.006805317295831186
23,1.7763271726667882,,,0.0067542177006088815
24,1.7337608499452473,0.7125427646636963,82.26,0.0066974091017491045
25,1.7555641704238951,,,0.006634991160837947
26,1.807288184762001,,,0.006567073380153525
27,1.8226871417835355,,,0.006493774910561776
28,1.7517299437895417,0.6830571212768555,83.18,0.006415224342485351
29,1.656919526308775,,,0.006331559480312319
30,1.7304537069052457,,,0.006242927100640443
31,1.686226244084537,,,0.0061494826947811505
32,1.7051743589341641,0.676254203414917,83.34,0.006051390195974943
33,1.7397875430062413,,,0.005948821691796782
34,1.7921073021367193,,,0.005841957122256007
35,1.692940191552043,,,0.005730983964120417
36,1.7412511024624109,0.6969381755828857,83.44,0.005616096902018315
37,1.677019154280424,,,0.005497497486895514
38,1.6787638464942574,,,0.00537539378242649
39,1.6815112959593534,,,0.005250000000000002
40,1.7334107829257845,0.6626461933135986,83.84,0.005121536122919519
41,1.7331780076958239,,,0.004990227520477757
42,1.6367000171914696,,,0.004856304552582363
43,1.6187133726663887,,,0.004720002165626356
44,1.7443377547897398,0.6398447620391846,85.36,0.004581559480312319
45,1.6127964477986096,,,0.004441219372153433
46,1.6301032399758697,,,0.0042992280453872985
47,1.6532224172726273,,,0.00415583460105004
48,1.551338201854378,0.619025365447998,85.86,0.0040112905999684445
