round,train_loss,val_loss,val_acc,lr
1,2.108305997028947,,,0.0007000000000000001
2,2.0751331679522993,,,0.0011500000000000002
3,2.100034528598189,,,0.0016000000000000003
4,2.0403463289141657,0.7567683925628662,80.72,0.00205
5,1.915406990610063,,,0.0025
6,1.930461415462196,,,0.00295
7,1.8524346162565053,,,0.0034000000000000002
8,1.9138432817533613,0.7382738422393799,81.46,0.00385
9,1.888554373756051,,,0.0043
10,1.8988188225775957,,,0.00475
11,1.8739517610520124,,,0.005200000000000001
12,1.8953130640089513,0.744102473449707,81.46,0.0056500000000000005
13,1.814569547586143,,,0.0061
14,1.842832612246275,,,0.007
15,1.8673332028090954,,,0.006996929905346005
16,1.8733387432992459,0.7643408992767334,81.0,0.006987725007373265
17,1.861960737593472,,,0.0069724014546006735
18,1.8623479641973972,,,0.006950986129746768
19,1.7278323454782367,,,0.006923516602568321
20,1.7608911268413068,0.7155452751159668,82.84,0.00689004106395021
21,1.8277369324117898,,,0.006850618241362237
22,1.782924229465425,,,0.006805317295831186
23,1.7557615274563432,,,0.0067542177006088815
24,1.7133975569158792,0.7026537185668945,83.16,0.0066974091017491045
25,1.7720273725688458,,,0.006634991160837947
26,1.6526258777827025,,,0.006567073380153525
27,1.7955760460346937,,,0.006493774910561776
28,1.7615843126550317,0.699307829284668,83.38,0.006415224342485351
29,1.6936533969826997,,,0.006331559480312319
30,1.7344533526338637,,,0.006242927100640443
31,1.7425401739776134,,,0.0061494826947811505
32,1.8600474423728883,0.6848891529083252,82.78,0.006051390195974943
33,1.827310830913484,,,0.005948821691796782
34,1.7419398218393325,,,0.005841957122256007
35,1.6815435282886029,,,0.005730983964120417
36,1.7329546723514795,0.6767636837005615,83.74,0.005616096902018315
37,1.7106202272698283,,,0.005497497486895514
38,1.640759895555675,,,0.00537539378242649
39,1.6872341545298695,,,0.005250000000000002
40,1.6568415712565183,0.6389482246398925,84.06,0.005121536122919519
41,1.6467853732407094,,,0.004990227520477757
42,1.6785478367470206,,,0.004856304552582363
43,1.6354403184726833,,,0.004720002165626356
44,1.6657838115468622,0.633774409866333,84.28,0.004581559480312319
45,1.6993357590399683,,,0.004441219372153433
46,1.678438488394022,,,0.0042992280453872985
47,1.7133020310662688,,,0.00415583460105004
48,1.7337797407992184,0.6338167079925537,84.68,0.0040112905999684445
