round,train_loss,val_loss,val_acc,lr
1,2.0585430676117538,,,0.0007000000000000001
2,2.0971001449972393,,,0.0011500000000000002
3,1.9071618210524321,,,0.0016000000000000003
4,1.9149049274623393,0.8510977142333984,77.4,0.00205
5,2.0611263144761325,,,0.0025
6,1.9334461437538266,,,0.00295
7,2.0494170114398003,,,0.0034000000000000002
8,2.0390018347650765,0.7731352645874023,79.24,0.00385
9,2.001710478588939,,,0.0043
10,2.0635376097634435,,,0.00475
11,1.9546352429315448,,,0.005200000000000001
12,1.974065955542028,0.8683875930786132,76.56,0.0056500000000000005
13,1.8988132137805223,,,0.0061
14,1.8616650676354767,,,0.007
15,1.8866935893893242,,,0.006996929905346005
16,1.9248229367658496,0.8336028533935547,78.82,0.006987725007373265
17,1.9179415859282016,,,0.0069724014546006735
18,1.8270666487514973,,,0.006950986129746768
19,1.8179824816063046,,,0.006923516602568321
20,1.8675541684962809,0.7472846405029296,81.92,0.00689004106395021
21,1.788678383640945,,,0.006850618241362237
22,1.7856712777167558,,,0.006805317295831186
23,1.7163088261149824,,,0.0067542177006088815
24,1.862673152051866,0.7187395629882812,81.72,0.0066974091017491045
25,1.658998876158148,,,0.006634991160837947
26,1.6632706586271524,,,0.006567073380153525
27,1.7324705565348268,,,0.006493774910561776
28,1.8039025858044624,0.7431323852539062,80.72,0.006415224342485351
29,1.7229961276054382,,,0.006331559480312319
30,1.7058563522994519,,,0.006242927100640443
31,1.7188723502680658,,,0.0061494826947811505
32,1.7664873070083558,0.7208392768859864,81.9,0.006051390195974943
