round,train_loss,val_loss,val_acc,lr
1,12.450402177870274,,,0.0007000000000000001
2,15.673555736243724,,,0.0011500000000000002
3,9.667383751273155,,,0.0016000000000000003
4,10.096472017467022,10.98937021484375,1.0,0.00205
5,8.313335336744785,,,0.0025
6,10.793587931990624,,,0.00295
7,9.537624637782574,,,0.0034000000000000002
8,9.430895754694939,10.4052482421875,1.0,0.00385
9,8.347518503665924,,,0.0043
10,7.898036400973797,,,0.00475
11,7.18992147743702,,,0.005200000000000001
12,5.6732638537883755,9.864729931640625,1.0,0.0056500000000000005
13,5.304470325261354,,,0.0061
14,5.041529212892056,,,0.007
15,4.228179387003183,,,0.006996929905346005
16,3.242496270686388,7.6830875,1.0,0.006987725007373265
17,3.2231278508901595,,,0.0069724014546006735
18,2.9237880930304527,,,0.006950986129746768
19,2.571112906932831,,,0.006923516602568321
20,2.706639426201582,6.2290244140625,1.44,0.00689004106395021
21,2.4882686331868173,,,0.006850618241362237
22,2.4334572896361353,,,0.006805317295831186
23,2.4390577182173727,,,0.0067542177006088815
24,2.571775996685028,5.602726953125,1.72,0.0066974091017491045
25,2.2775550462305545,,,0.006634991160837947
26,2.3214649625122545,,,0.006567073380153525
27,2.4033508107066153,,,0.006493774910561776
28,2.29162592664361,6.0078384765625,1.0,0.006415224342485351
29,2.42317758500576,,,0.006331559480312319
30,2.328749690204859,,,0.006242927100640443
31,2.4109609231352804,,,0.0061494826947811505
32,2.2625571735203267,5.1785685546875,2.34,0.006051390195974943
33,2.281160145998001,,,0.005948821691796782
34,2.131828287243843,,,0.005841957122256007
35,2.2563459441065787,,,0.005730983964120417
36,2.1286335721611978,5.19223076171875,2.14,0.005616096902018315
37,2.166007402539253,,,0.005497497486895514
38,2.14437445923686,,,0.00537539378242649
39,2.100790600478649,,,0.005250000000000002
40,2.116689046472311,5.096439306640625,2.3,0.005121536122919519
41,2.2120217569172382,,,0.004990227520477757
42,2.2529990158975126,,,0.004856304552582363
43,2.1144699014723303,,,0.004720002165626356
44,2.2289873912930487,5.087171875,3.48,0.004581559480312319
45,2.1055572740733624,,,0.004441219372153433
46,2.164308999478817,,,0.0042992280453872985
47,2.1802025616168974,,,0.00415583460105004
48,2.244398310035467,4.7766072265625,3.18,0.0040112905999684445
