round,train_loss,val_loss,val_acc,lr
1,9.457669192552567,,,0.0007000000000000001
2,5.59781459569931,,,0.0011500000000000002
3,5.4928822875022885,,,0.0016000000000000003
4,5.4047255396842955,7.17200166015625,1.0,0.00205
5,6.245110705494881,,,0.0025
6,5.797713646292687,,,0.00295
7,5.3438855022192,,,0.0034000000000000002
8,5.239662715792656,6.244628063964844,2.98,0.00385
9,5.203978709876537,,,0.0043
10,4.895108018815518,,,0.00475
11,4.848389178514481,,,0.005200000000000001
12,4.707897089421749,4.940962451171875,5.7,0.0056500000000000005
13,4.609511384367943,,,0.0061
14,5.253455427289009,,,0.007
15,4.7624115064740185,,,0.006996929905346005
16,4.2878197327256204,4.12381506652832,14.78,0.006987725007373265
17,3.7994883611798285,,,0.0069724014546006735
18,3.609336870908737,,,0.006950986129746768
19,3.45888814330101,,,0.006923516602568321
20,3.265925043076277,2.865423132324219,28.52,0.00689004106395021
21,3.1613166220486164,,,0.006850618241362237
22,3.0799390822649,,,0.006805317295831186
23,3.0030201837420463,,,0.0067542177006088815
24,2.811767458170652,2.1713623809814453,47.6,0.0066974091017491045
25,2.8145681641995908,,,0.006634991160837947
26,2.6565060511231424,,,0.006567073380153525
27,2.70821640342474,,,0.006493774910561776
28,2.57825974971056,1.8998507568359375,50.98,0.006415224342485351
29,2.5845826517790558,,,0.006331559480312319
30,2.4455077297985555,,,0.006242927100640443
31,2.508875470981002,,,0.0061494826947811505
32,2.356748766824603,1.6200902099609376,56.98,0.006051390195974943
33,2.3669242698699238,,,0.005948821691796782
34,2.3510441329330205,,,0.005841957122256007
35,2.2266690980643036,,,0.005730983964120417
36,2.183874685689807,1.3131763885498047,63.96,0.005616096902018315
37,2.256158983707428,,,0.005497497486895514
38,2.1119094118475914,,,0.00537539378242649
39,2.158702076226473,,,0.005250000000000002
40,2.205194354429841,1.2572551574707032,66.9,0.005121536122919519
41,2.139971363916993,,,0.004990227520477757
42,2.0625928182154896,,,0.004856304552582363
43,1.9499568345025182,,,0.004720002165626356
44,1.984629256464541,1.2198938034057618,68.26,0.004581559480312319
45,1.9586945582181214,,,0.004441219372153433
46,1.9974271204322576,,,0.0042992280453872985
47,2.0009282737970353,,,0.00415583460105004
48,2.0319679461419584,0.9931266799926758,73.88,0.0040112905999684445
