round,train_loss,val_loss,val_acc,lr
1,9.086125287413598,,,0.0007000000000000001
2,5.594587582349777,,,0.0011500000000000002
3,5.3186874985694885,,,0.0016000000000000003
4,5.343626871705055,4.441090283203125,4.18,0.00205
5,5.303644064068794,,,0.0025
6,5.206832820177079,,,0.00295
7,5.0567887902259825,,,0.0034000000000000002
8,4.747791284322739,3.4735006744384767,18.38,0.00385
9,4.617688670754433,,,0.0043
10,4.412818515300751,,,0.00475
11,4.181302791833877,,,0.005200000000000001
12,4.026071892678738,2.1958206283569335,43.2,0.0056500000000000005
13,3.7955387100577354,,,0.0061
14,3.7134642459452154,,,0.007
15,3.4555775590240954,,,0.006996929905346005
16,3.169831024110317,1.420695460510254,60.68,0.006987725007373265
17,3.0841138273477555,,,0.0069724014546006735
18,3.1128057219088077,,,0.006950986129746768
19,3.0057865247130393,,,0.006923516602568321
20,2.783024076372385,1.143753199005127,69.08,0.00689004106395021
21,2.7976299300789833,,,0.006850618241362237
22,2.6748664107173683,,,0.006805317295831186
23,2.633677760884166,,,0.0067542177006088815
24,2.598426619172096,0.9946084991455079,72.98,0.0066974091017491045
25,2.6156142342835667,,,0.006634991160837947
26,2.657662282139063,,,0.006567073380153525
27,2.3703856308013203,,,0.006493774910561776
28,2.325558216869831,0.8754469039916992,75.68,0.006415224342485351
29,2.413051465153694,,,0.006331559480312319
30,2.5130566719919445,,,0.006242927100640443
31,2.3765103824436666,,,0.0061494826947811505
32,2.3084338873624803,0.8044654708862304,77.82,0.006051390195974943
33,2.3175582621246575,,,0.005948821691796782
34,2.2507303092628717,,,0.005841957122256007
35,2.3388885878026486,,,0.005730983964120417
36,2.314906050637364,0.7735048202514648,79.8,0.005616096902018315
37,2.1856813073158263,,,0.005497497486895514
38,2.147774821892381,,,0.00537539378242649
39,2.162909412011504,,,0.005250000000000002
40,2.108618738129735,0.7218749050140381,80.68,0.005121536122919519
41,1.982737329043448,,,0.004990227520477757
42,2.0993563499301673,,,0.004856304552582363
43,2.0290867906063794,,,0.004720002165626356
44,2.0434005396440624,0.6958558456420898,81.72,0.004581559480312319
45,2.0561897002160547,,,0.004441219372153433
46,1.9209312660619617,,,0.0042992280453872985
47,2.0227353373542427,,,0.00415583460105004
48,1.9529535515233873,0.6676427875518799,82.44,0.0040112905999684445
