epoch,train_loss,val_loss,val_acc,lr
1,4.466178723114144,3.0008808715820314,25.36,0.00014000000000000001
2,3.039748473408212,1.130609225463867,71.42,0.00045500000000000006
3,2.441903848905821,0.7814752243041992,79.44,0.0007700000000000001
4,2.2771492939585474,0.6745778514862061,81.06,0.0014
5,2.029775789672586,0.6923762725830078,81.8,0.0013880811697787312
6,1.906448348741952,0.5938584827423096,83.92,0.0013527305605830489
7,1.8549486466525797,0.5823652160644531,84.54,0.0012951519950107299
8,1.7494826095965645,0.5505418926239014,86.24,0.0012173062420544614
9,1.678128611715047,0.533558614730835,86.38,0.0011218442454654796
10,1.5733497461375607,0.5637652317047119,85.38,0.001012016849043577
11,1.5242916729253522,0.4786832862854004,87.3,0.0008915640930504581
12,1.541970485389487,0.4977190029144287,87.32,0.0007645878516243114
13,1.4847385601417438,0.511429048538208,87.4,0.0006354121483756886
14,1.4296690040343516,0.4969814510345459,87.9,0.000508435906949542
15,1.3981488510266815,0.480941467666626,88.68,0.00038798315095642347
16,1.3588499586875544,0.4536261920928955,88.78,0.0002781557545345205
17,1.3742745089454638,0.4600885814666748,88.84,0.00018269375794553844
18,1.3372198367652988,0.4607596775054932,89.1,0.00010484800498927017
19,1.3335486499653602,0.458905334854126,89.0,4.726943941695099e-05
20,1.2974446105160042,0.4509233268737793,89.04,1.1918830221268747e-05
